Id,SalePrice
1461,130751
1462,155725
1463,178902
1464,185472
1465,198730
1466,184312
1467,167397
1468,174536
1469,186015
1470,120061
1471,196475
1472,97026
1473,100167
1474,156435
1475,142520
1476,403270
1477,254545
1478,310615
1479,264222
1480,433038
1481,321343
1482,205451
1483,177762
1484,175510
1485,170688
1486,208261
1487,336776
1488,238113
1489,212118
1490,201941
1491,200200
1492,98712
1493,174707
1494,314677
1495,309648
1496,242821
1497,196117
1498,154773
1499,152605
1500,149659
1501,175387
1502,169159
1503,286034
1504,229812
1505,226886
1506,183914
1507,222002
1508,205263
1509,166255
1510,155248
1511,155792
1512,175326
1513,157916
1514,172898
1515,181504
1516,165629
1517,159310
1518,133533
1519,230892
1520,137692
1521,150069
1522,165514
1523,113433
1524,126054
1525,133712
1526,129603
1527,99659
1528,129070
1529,143850
1530,166201
1531,131111
1532,106816
1533,146299
1534,112768
1535,174071
1536,118980
1537,71825
1538,181921
1539,262729
1540,117857
1541,152904
1542,149366
1543,223699
1544,76247
1545,107566
1546,123245
1547,140955
1548,140436
1549,118971
1550,143927
1551,116059
1552,143993
1553,150979
1554,115213
1555,174284
1556,97831
1557,139344
1558,98144
1559,122529
1560,149918
1561,165920
1562,126927
1563,122039
1564,165216
1565,159788
1566,223514
1567,75798
1568,229093
1569,150943
1570,128622
1571,133729
1572,148379
1573,234376
1574,110950
1575,222752
1576,223674
1577,205976
1578,158986
1579,144092
1580,197906
1581,141601
1582,128266
1583,352347
1584,243506
1585,141957
1586,73306
1587,104820
1588,153193
1589,103003
1590,132425
1591,106574
1592,125395
1593,119308
1594,136329
1595,120855
1596,229308
1597,164165
1598,189474
1599,214731
1600,195018
1601,81997
1602,116711
1603,103775
1604,294239
1605,264848
1606,166675
1607,174371
1608,202870
1609,202196
1610,159103
1611,149608
1612,156669
1613,167792
1614,122512
1615,87968
1616,84116
1617,92345
1618,124987
1619,133246
1620,153261
1621,139239
1622,157898
1623,298818
1624,212272
1625,134309
1626,177547
1627,191798
1628,308635
1629,176850
1630,350214
1631,225951
1632,242034
1633,166793
1634,182119
1635,178558
1636,159013
1637,170300
1638,221610
1639,180372
1640,247120
1641,189545
1642,226832
1643,227921
1644,222039
1645,176825
1646,154139
1647,167085
1648,144159
1649,139152
1650,118275
1651,120961
1652,94078
1653,97891
1654,156555
1655,154737
1656,155863
1657,157309
1658,156547
1659,141086
1660,148581
1661,406056
1662,410766
1663,391408
1664,430162
1665,315047
1666,341563
1667,347006
1668,329528
1669,306758
1670,338522
1671,271367
1672,425887
1673,307200
1674,256443
1675,189915
1676,189375
1677,204343
1678,450657
1679,371961
1680,328359
1681,271461
1682,309413
1683,186957
1684,174884
1685,175053
1686,169444
1687,166556
1688,186886
1689,189966
1690,189089
1691,169467
1692,276531
1693,169430
1694,183882
1695,170015
1696,272328
1697,171975
1698,351775
1699,336898
1700,247439
1701,270408
1702,254977
1703,254515
1704,301955
1705,229749
1706,453602
1707,204070
1708,200223
1709,272272
1710,224588
1711,272998
1712,238553
1713,251235
1714,227242
1715,205533
1716,179233
1717,164601
1718,143326
1719,219140
1720,253182
1721,161847
1722,128187
1723,158981
1724,206719
1725,230905
1726,181506
1727,168592
1728,187437
1729,169795
1730,171163
1731,125081
1732,132960
1733,125687
1734,134644
1735,133180
1736,114452
1737,370965
1738,225889
1739,276672
1740,190812
1741,178969
1742,174742
1743,172220
1744,326045
1745,250332
1746,269969
1747,224797
1748,213418
1749,159363
1750,150862
1751,246205
1752,122174
1753,143854
1754,228103
1755,167089
1756,118899
1757,118964
1758,149821
1759,176141
1760,158209
1761,158068
1762,167962
1763,180320
1764,118249
1765,173810
1766,169569
1767,208810
1768,142562
1769,172439
1770,140891
1771,141630
1772,142755
1773,145070
1774,136312
1775,131930
1776,122695
1777,120354
1778,129899
1779,121848
1780,181884
1781,131705
1782,97696
1783,135071
1784,98916
1785,118397
1786,150296
1787,173552
1788,59016
1789,93169
1790,94501
1791,180302
1792,157025
1793,140118
1794,141826
1795,140220
1796,121172
1797,114024
1798,127082
1799,116294
1800,126536
1801,135139
1802,153806
1803,154900
1804,140001
1805,136091
1806,124153
1807,152838
1808,123738
1809,130454
1810,145637
1811,112781
1812,116576
1813,121795
1814,97136
1815,59185
1816,105202
1817,123199
1818,134860
1819,115837
1820,83213
1821,127094
1822,147371
1823,61162
1824,137984
1825,138310
1826,101742
1827,108202
1828,135246
1829,112887
1830,144675
1831,171270
1832,112570
1833,152443
1834,139431
1835,172041
1836,133273
1837,102963
1838,145847
1839,87190
1840,168680
1841,153385
1842,91485
1843,146001
1844,138340
1845,141411
1846,152190
1847,148552
1848,65966
1849,121266
1850,130602
1851,149760
1852,127205
1853,138787
1854,175554
1855,147334
1856,225802
1857,162268
1858,141854
1859,123688
1860,154567
1861,123267
1862,273068
1863,271996
1864,271996
1865,337672
1866,335201
1867,242153
1868,312490
1869,196128
1870,252545
1871,261342
1872,173824
1873,236777
1874,142159
1875,221063
1876,196645
1877,211009
1878,216396
1879,133204
1880,137190
1881,239681
1882,259290
1883,210007
1884,225661
1885,260328
1886,306346
1887,199733
1888,287807
1889,168302
1890,140343
1891,142299
1892,108637
